,source,text,timestamp,compound,positive,negative,neutral,tweet_index
0,BBC,"RT @BBCOne: SO. MUCH. CUTE. ?
#AttenboroughandtheGiantElephant https://t.co/4UyVvh6qBm",Dec/10/2017,0.6915,0.44,0.0,0.56,0
1,BBC,RT @BBCEarth: 'Never before have we had such an awareness of what we are doing to the planet and never before have we had the power to do s…,Dec/10/2017,0.0,0.0,0.0,1.0,1
2,BBC,"?@DuaLipa performing 'Homesick' was a completely stunning way to end this series of #SLFN. ?
Watch in full ?… https://t.co/LgMlMfnv7F",Dec/10/2017,0.4391,0.145,0.0,0.855,2
3,BBC,"RT @BBCEarth: 'What shocks me ...is how fast things are changing here. We’re headed into uncharted territory' - @expeditionlog
#BluePlanet2…",Dec/10/2017,-0.3818,0.0,0.126,0.874,3
4,BBC,"RT @BBCOne: If we don’t act, coral reefs could be gone by the end of this century. ? #BluePlanet2 https://t.co/OdOSKBtz0S",Dec/10/2017,0.0,0.0,0.0,1.0,4
5,BBC,"RT @BBCEarth: In 1986, many nations decided to end commercial whaling, and fishermen are now reporting pods of whales with numbers never se…",Dec/10/2017,0.0,0.0,0.0,1.0,5
6,BBC,"Little things can make a big difference.
#BluePlanet2 via @BBCEarth https://t.co/hyzwA06cNw",Dec/10/2017,0.0,0.0,0.0,1.0,6
7,BBC,"RT @BBCSpringwatch: Manmade materials are destroying #OurBluePlanet - this is how
#BluePlanet2 
https://t.co/sEccQzjv1r https://t.co/7ZmDOz…",Dec/10/2017,-0.5574,0.0,0.231,0.769,7
8,BBC,"RT @BBCEarth: It’s estimated that tens of millions of sharks are killed each year from getting trapped in fishing nets
#BluePlanet2 https:/…",Dec/10/2017,-0.836,0.0,0.283,0.717,8
9,BBC,RT @BBCOne: These are *all* items regurgitated by birds. ? #BluePlanet2 https://t.co/WyFtZHjKjx,Dec/10/2017,0.0,0.0,0.0,1.0,9
10,BBC,"RT @BBCOne: Our rubbish, our responsibility. ? #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",Dec/10/2017,0.4019,0.13,0.0,0.87,10
11,BBC,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 ????… https://t.co/PP5l7QrqFP,Dec/10/2017,0.9169,0.518,0.0,0.482,11
12,BBC,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",Dec/10/2017,0.0,0.0,0.0,1.0,12
13,BBC,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",Dec/10/2017,-0.5267,0.0,0.152,0.848,13
14,BBC,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",Dec/10/2017,0.0,0.0,0.0,1.0,14
15,BBC,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless ????
#BluePlanet2 #OurBluePlanet 
ht…",Dec/10/2017,0.5106,0.163,0.0,0.837,15
16,BBC,"'Good luck, little leatherback' - Sir David Attenborough ?

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",Dec/10/2017,0.7096,0.396,0.0,0.604,16
17,BBC,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' ??
#ScotSquad via… https://t.co/x8I92iMImk",Dec/10/2017,-0.1803,0.185,0.213,0.602,17
18,BBC,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,Dec/10/2017,0.6249,0.203,0.0,0.797,18
19,BBC,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",Dec/10/2017,0.5574,0.184,0.0,0.816,19
20,BBC,"98-year-old Mary wins Christmas, and our hearts. ????
Via @BBCLookNorth. https://t.co/4gOl16THuM",Dec/10/2017,0.5719,0.27,0.0,0.73,20
21,BBC,RT @BBCTwo: Who wants a Sneaky Peak at the next episode of #PeakyBlinders? ? https://t.co/tzCB83ceSS,Dec/10/2017,-0.2263,0.0,0.137,0.863,21
22,BBC,"RT @bbcstories: ""I think people my age think that death is something to be scared of but I think it's like being free and at peace"" - Meet…",Dec/10/2017,0.8765,0.329,0.116,0.555,22
23,BBC,? How to deal with mental health issues in the family. https://t.co/48BOLabkXK https://t.co/7Eh3EjYywg,Dec/10/2017,0.0,0.0,0.0,1.0,23
24,BBC,This 12-year-old has created a cheap way to test lead levels in water using a mobile phone app. ??Via @BBCClick. https://t.co/TWqttOHJX3,Dec/10/2017,0.25,0.1,0.0,0.9,24
25,BBC,?? We've been listening for signs of life from other worlds for decades with little success. But what should we do… https://t.co/e3IETfS8cs,Dec/10/2017,0.5279,0.14,0.0,0.86,25
26,BBC,Thousands of internet users have come together to buy this stunning castle... although it does need a little TLC. ?… https://t.co/qhkNd4HyM5,Dec/10/2017,0.4588,0.136,0.0,0.864,26
27,BBC,"That was unexpected. ?

Michael McIntyre's Big Show via @BBCOne. https://t.co/2QUZXppIbQ",Dec/10/2017,0.0,0.0,0.0,1.0,27
28,BBC,#SkiSunday is back! ?? Join the team in Val D'Isere for the men's slalom. 5:15pm on @BBCTwo. https://t.co/mPdHEuxHOX https://t.co/w3pqO1lCn6,Dec/10/2017,0.3595,0.122,0.0,0.878,28
29,BBC,"? @DanTDM has been named the highest-earning YouTuber of 2017 - making £12.3m this year, according to @Forbes magaz… https://t.co/yVEcwct3Es",Dec/10/2017,0.0,0.0,0.0,1.0,29
30,BBC,"Rebel Wilson reenacts her Pitch Perfect audition and it’s slap-tastic.

The Graham Norton Show | @BBCOne https://t.co/TYszXcf9ZH",Dec/10/2017,0.4767,0.192,0.083,0.725,30
31,BBC,The BBC has made the 1930s issues of the complete Radio Times magazines available online for the first time. ? Chec… https://t.co/aeK8TTggDW,Dec/10/2017,0.0,0.0,0.0,1.0,31
32,BBC,"From Dark, to the return of The Crown &amp; a #DoctorWho Christmas special, here are the TV shows worth watching in Dec… https://t.co/4qq2MlpONj",Dec/10/2017,0.5574,0.187,0.0,0.813,32
33,BBC,"RT @bbcthree: In 2011 BBC Three made a documentary about a boy who defied his bullies. 

Now #EverybodysTalkingAboutJamie again. https://t.…",Dec/10/2017,0.0,0.0,0.0,1.0,33
34,BBC,"'There's ignorance about employment law &amp; people don't want to hear complaints.'
Classical music has a sexual haras… https://t.co/PpdlbV0Gck",Dec/10/2017,-0.4063,0.0,0.189,0.811,34
35,BBC,"'Their birthdays are never easy.' 
Hannah is one of thousands of mums living with PTSD from experiencing traumatic… https://t.co/lPMW5VXHfa",Dec/10/2017,0.0,0.0,0.0,1.0,35
36,BBC,"How do you make puppets fall in love? ????
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",Dec/10/2017,0.6369,0.231,0.0,0.769,36
37,BBC,"RT @CBeebiesHQ: He's the disco dancing, geography guide with the moves! ?

@BBCStrictly doesn't know what's hit it! ?

#GoJetters?

#Strict…",Dec/10/2017,0.0,0.0,0.0,1.0,37
38,BBC,"RT @BBCBreakfast: A clairvoyant cat? ? Or a turtle in the know??
Animals in Russia are predicting the outcome of @FIFAWorldCup 2018 https:/…",Dec/10/2017,0.0,0.0,0.0,1.0,38
39,BBC,RT @BBCOne: David Attenborough uncovers the story of Jumbo – a celebrity animal superstar who is said to have inspired the movie Dumbo. Ton…,Dec/10/2017,0.4939,0.132,0.0,0.868,39
40,BBC,Watch @ScottishBallet's incredible interpretations of Stravinsky. https://t.co/NGZuhnKutW https://t.co/vUOkoaJ7mc,Dec/10/2017,0.0,0.0,0.0,1.0,40
